0ad a22-3
0ad-data a22-1
a52dec 0.7.4-9
aalib 1.4rc5-12
abcde 2.8.1-2
abiword-gtk2 3.0.2-2
accounts-qml-module 0.7-1
accountsservice 0.6.45-1
acestream-engine 3.1.16-1
acetoneiso2 2.3-8
acl 2.2.52-4
acpi 1.7-2
acpid 2.0.28-1
acpilight 1.0-2
adapta-kde 20171109-1
adobe-source-code-pro-fonts 2.030ro+1.050it-4
adobe-source-sans-pro-fonts 2.020ro+1.075it-2
adobe-source-serif-pro-fonts 2.000-1
adwaita-icon-theme 3.26.0-1
alacarte 3.11.91+12+g1bb265f-2
alpm-octopi-utils 1.0.0-2
alsa-firmware 1.0.29-1
alsa-lib 1.1.5-1
alsa-plugins 1.1.5-1
alsa-tools 1.1.3-1
alsa-utils 1.1.5-2
anaconda 5.0.1-1
analitza 17.08.3-1
android-file-transfer 3.2-1
android-sdk 26.1.1-1
android-sdk-build-tools r27.0.1-1
android-tools 8.0.0_r17-1
android-udev 20171031-1
andromeda-icon-theme 0.2.0-1
angrysearch 1.0.1-1
apg 2.2.3-4
apm 1.18.11-1
appstream 0.11.7-1
appstream-glib 0.7.4-1
appstream-qt 0.11.7-1
apr 1.6.3-1
apr-util 1.6.1-1
arc-gtk-theme 20170302-4
arc-kde 20171109-1
arch-audit 0.1.9-1
arch-wiki-cli 0.3-1
archlinux-appstream-data 20171017-1
archlinux-keyring 20171020-1
aria2 1.33.1-1
ark 17.08.3-1
artwork-i3 20170621-1
asciidoc 8.6.9-3
asciinema 1.4.0-1
asciiquarium 1.1-4
aspell 0.60.6.1-5
aspell-en 2016.06.26-1
assimp 4.0.1-1
astromenace 1.3.2-2
at-spi2-atk 2.26.1-1
at-spi2-core 2.26.2-1
atk 2.26.1-1
atkmm 2.24.2+1+gf30b47f-2
atom-editor-beta-bin 1.22.0.beta1-1
attica-qt4 0.4.2-3
attica-qt5 5.40.0-1
attr 2.4.47-3
audacious 3.9-1
audacious-plugins 3.9-1
audacity 2.2.0-1
audio-convert 0.3.1.1-7
audiocd-kio 17.08.3-1
autoconf 2.69-4
autokey-py3 0.93.10-4
automake 1.15.1-1
automoc4 0.9.88-8
avahi 0.7-1
avant-window-navigator 0.4.2-5
avfs 1.0.5-1
awesome-terminal-fonts 1.1.0-1
awn-extras-applets 0.4.0-16
b43-fwcutter 019-1
babl 0.1.30-1
baka-mplayer-git 2.0.4.r60.g86cf487-1
baloo 5.36.0-1
baloo-widgets 17.04.2-1
bamf 0.5.3-2
banner 1.3.2-5
bash 4.4.012-2.2
bash-pipes 1.2-2
bauerbill 2017.10-1
bc 1.07.1-1
bdf-zevv-peep 1.0-4
beep 1.3-3
bind-tools 9.11.2-2
binutils 2.29.1-1
bison 3.0.4-3
blas 3.8.0-1
bleachbit 1.12-1
blinken 17.08.3-1
bluedevil 1:5.11.4-1
blueman 2.0.5-1
bluez 5.47-2
bluez-libs 5.47-2
bluez-qt 5.40.0-1
bmenu 0.4.8-1
bmon 4.0-3
bomber 17.08.3-1
bomi 0.9.11-4
boost 1.65.1-2
boost-libs 1.65.1-2
bootchart2 0.14.8-2
boxes 1.2-1
breath-icon-theme 0.3.0-1
breath-wallpaper 0.3.0-2
breeze 5.11.4-1
breeze-grub 5.11.4-1
breeze-gtk 5.11.4-1
breeze-icons 5.40.0-1
breeze-kde4 5.11.4-1
brightnessctl 0.3-2
bspwm-manjaro 0.9.4-4
bspwm-scripts 0.32-1
bspwm-wallpapers 20170714-1
btanks 0.9.8083-7
btanks-data 0.9.8083-3
btrfs-progs 4.13-1
bubblewrap 0.2.0-1
bullet 2.87-1
busybox 1.27.2-1
byobu 5.123-1
byzanz 0.3.0.1-3
bzip2 1.0.6-6
bzr 2.7.0-2
c-ares 1.13.0-1
ca-certificates 20170307-1
ca-certificates-cacert 20140824-4
ca-certificates-mozilla 3.34.1-1
ca-certificates-utils 20170307-1
cabextract 1.6-2
caffeine-ng 3.4.0-2
cairo 1.15.8-2
cairo-clock 0.3.4-4
cairo-dock 3.4.1-2
cairo-dock-plug-ins 3.4.1-8
cairo-dock-plug-ins-extras 3.4.0-2
cairo-perl 1.106-5
cairomm 1.12.2-2
calcoo 1.3.18-4
calendar-indicator 0.3.4-3
calibre 3.12.0-2
calligra 3.0.1-8
cantarell-fonts 1:0.0.25-3
cantor 17.08.3-1
catfish 1.4.2-3
cauchy 0.9.0-1
cblas 3.8.0-1
ccache 3.3.4-2
ccrypt 1.10-2
ccze 0.2.1-9
cd-discid 1.4-1
cdparanoia 10.2-5
cdrdao 1.2.3-10
cdrtools 3.02a07-2
celt 0.11.3-3
cervisia 17.08.3-1
cfitsio 3.420-1
cherrytree 0.38.3-1
chmlib 0.40-4
chromaprint 1.4.2-1
chrpath 0.16-1
cifs-utils 6.7-2
ckbcomp 1.155-1
clang 5.0.0-1
clementine 1.3.1-10
clipit 1.4.3-2
cln 1.3.4-3
clucene 2.3.3.4-9
clutter 1.26.2-1
clutter-gst 3.0.24-1
clutter-gtk 1.8.4-1
cmake 3.10.0-3
cmatrix 1.2a-12
cmus 2.7.1-8
codeblocks 16.01-11
cogl 1.22.2+11+g811f285a-1
colord 1.4.1-1
colortest-256-ng-git 20100822-1
compare-mirrors 0.2-2
compiz-boxmenu 1.1.12-2
compositeproto 0.4.2-3
compton 0.1_beta2.5-10
compton-conf 0.2.1-5
confuse 3.2.1-1
conky-lua-archers-git 3166.a58a6d4e-2
conky-manager 2.4-2
convertlit 1.8-7
copyq 3.1.2-1
copyq-plugin-itemweb 3.1.2-1
corebird 1.7.3-1
coreutils 8.28-1
cower 17-1
cowfortune 0.1.2-5
cowsay 3.03-9
cpio 2.12-3
cpuburn 1.4a-4
cpulimit 20160304-1
cpupower 4.13-1
cracklib 2.9.6-1
crda 3.18-1
cronie 1.5.1-1
cronograph-conky 8.5.170621-1
crypto++ 5.6.5-3
cryptsetup 1.7.5-2
ctags 5.8-5
ctpl 0.3.4-2
cups 2.2.6-1
cups-filters 1.17.9-5
cups-pdf 3.0.1-1
cups-pk-helper 0.2.6-1
curl 7.57.0-1
cython 0.27.3-3
cython2 0.27.3-3
daala 0.0.r1696.g7278368-1
damageproto 1.2.1-3
dash 0.5.9.1-1
db 5.3.28-3
dbus-glib 0.108-1
dbus-sharp 0.8.1-1
dbus-sharp-glib 0.6.0-1
dbus-x11 1.12.2-1
dcadec 0.2.0-1
dconf 0.26.1-1
dconf-editor 3.26.2-1
dcraw 9.27.0-1
deadbeef 0.7.2-2
debtap 3.1.4-2
deluge 1.3.15+2+g38d7b7cdf-1
desktop-file-utils 0.23-1
device-mapper 2.02.176-1
devilspie 0.23-1
dex 0.8.0-1
dhclient 4.3.6-4
dhcpcd 6.11.5-1
dialog 1:1.3_20170509-1
diffutils 3.6-1
dina-font 2.92-6
ding-libs 0.6.0-1
directfb 1.7.7-2
djvulibre 3.5.27-3
dkms 2.4.0-2
dmenu-manjaro 4.6-12
dmidecode 3.1-2
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-3
dnsmasq 2.78-1
dnssec-anchors 20170711-1
docbook-xml 4.5-6
docbook-xsl 1.79.2-4
dockbarx 0.92-1
dockmanager 0.1.0-5
docky 2.2.1.1-3
dolphin 17.08.3-1
dolphin-plugins 17.08.3-1
dos2unix 7.4.0-1
dosbox 0.74-7
dosfstools 4.1-1
dotconf 1.3-4
double-conversion 3.0.0-1
doublecmd-qt-svn r7865-1
downgrade 6.0.0-1
dragon 17.08.3-1
dreamchess-git 396.5f6cc6c-1
drkonqi 5.11.4-1
dropbox 39.4.49-1
drun 1.0.3-2
dswitcher-git 10-3
